FID,Slope,Elevat,ShrubCov,x_utm,y_utm
1716,0.8006810,723,0.0868596,256699.200000000011642,3893662.200000000186265
1717,3.1695199,725,0.0774085,256739.200000000011642,3893662.200000000186265
1718,3.0775199,728,0.0704328,256779.200000000011642,3893662.200000000186265
1719,1.9768800,729,0.0870846,256819.200000000011642,3893662.200000000186265
1720,2.0871301,728,0.0978858,256859.200000000011642,3893662.200000000186265
1721,2.1475899,727,0.1496410,256899.200000000011642,3893662.200000000186265
1722,2.9611499,727,0.0904600,256939.200000000011642,3893662.200000000186265
1723,4.0446901,728,0.0672824,256979.200000000011642,3893662.200000000186265
1724,3.5494800,732,0.0470302,257019.200000000011642,3893662.200000000186265
1725,2.3874300,732,0.0749333,257059.200000000011642,3893662.200000000186265
1726,2.8287201,732,0.1820450,257099.200000000011642,3893662.200000000186265
1727,5.5361199,735,0.1395150,257139.200000000011642,3893662.200000000186265
1728,7.4773302,740,0.0774085,257179.200000000011642,3893662.200000000186265
1729,4.4778199,747,0.0634570,257219.200000000011642,3893662.200000000186265
1730,3.9971700,746,0.1437910,257259.200000000011642,3893662.200000000186265
1731,4.2891502,744,0.0783086,257299.200000000011642,3893662.200000000186265
1732,4.9624200,745,0.1755190,257339.200000000011642,3893662.200000000186265
1733,7.5896001,748,0.1521170,257379.200000000011642,3893662.200000000186265
1734,7.9440098,755,0.1471660,257419.200000000011642,3893662.200000000186265
1735,8.5380602,754,0.2880320,257459.200000000011642,3893662.200000000186265
1736,8.1802301,753,0.2315500,257499.200000000011642,3893662.200000000186265
1737,4.8262000,752,0.1842950,257539.200000000011642,3893662.200000000186265
1738,3.0878799,753,0.0780836,257579.200000000011642,3893662.200000000186265
1739,9.7918596,759,0.0279031,257619.200000000011642,3893662.200000000186265
1740,12.1767998,769,0.0636820,257659.200000000011642,3893662.200000000186265
1741,10.4157000,776,0.0753833,257699.200000000011642,3893662.200000000186265
1742,9.0158901,780,0.2349260,257739.200000000011642,3893662.200000000186265
1743,9.5829000,781,0.1914960,257779.200000000011642,3893662.200000000186265
1744,2.0283799,703,0.0290282,256099.200000000011642,3893622.200000000186265
1745,3.7926600,706,0.0164268,256139.200000000011642,3893622.200000000186265
1746,3.2392700,709,0.0441049,256179.200000000011642,3893622.200000000186265
1747,3.0357201,711,0.1053120,256219.200000000011642,3893622.200000000186265
1748,3.5404799,712,0.0733581,256259.200000000011642,3893622.200000000186265
