shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
0.073105,0.2324,0.054681,0.19762
0.052484,0.082,0.0783086,0.161581
0.023645,0.142,0.0873096,0.111249
0.059325,0.052,0.0864095,0.113337
0.119327,0.1844,0.108912,0.12547
0.185822,0.462,0.135915,0.138071
0.24144,0.2472,0.224575,0.128314
0.214099,0.1112,0.0886598,0.0987919
0.126583,0.11,0.110937,0.0819065
0.163132,0.1404,0.183845,0.127954
0.198598,0.1172,0.159093,0.188331
0.169701,0.1672,0.0398294,0.196432
0.161395,0.3248,0.0490554,0.170186
0.216879,0.1088,0.0562562,-9999
0.071521,0.1572,0.106212,0.247196
0.0378,0.1416,0.190821,0.24626
0.061852,0.1068,0.117463,0.22257
0.107382,0.1264,0.102386,0.1524
0.190393,0.132,0.128714,0.0861189
0.164655,0.1676,0.0654822,0.0717177
0.110405,0.298,0.0895599,0.0964877
0.116078,0.1708,0.157517,0.136883
0.171741,0.1248,0.0704328,0.158341
0.201562,0.1388,0.0591815,0.165469
0.209765,0.1156,0.0864095,0.159349
0.194619,0.1364,0.231776,0.118881
0.100803,0.1244,0.253828,0.117189
0.079891,0.0824,0.121963,0.146388
0.155106,0.156,0.163143,0.148728
0.128458,0.1216,0.099911,0.132635
0.107039,0.0804,0.153017,0.112689
0.092534,0.136,0.13209,0.0963077
0.092131,0.2872,0.0951855,0.105632
0.086693,0.1,0.036454,0.118233
0.080242,0.098,0.063232,0.117693
0.131697,0.1912,0.101936,0.135047
0.214324,0.036,0.157517,0.122914
0.281636,0.0532,0.116113,0.0853268
0.199927,0.048,0.099686,0.0708897
0.09363,0.0696,0.130739,0.0658853
0.050007,0.2196,0.156842,0.07557
0.120672,0.1088,0.13839,0.0946516
0.109199,0.1412,0.0794337,0.147324
0.134436,0.2432,0.160218,0.172562
0.157668,0.4304,0.13479,0.130726
0.223905,0.4608,0.0535559,0.100988
0.249342,0.0744,0.0319535,0.0775742
0.126314,0.1228,0.072683,0.312001
0.025197,0.1832,0.104862,0.294936
0.052506,0.1172,0.107787,0.292019
0.090736,0.086,0.190371,0.234163
0.163316,0.1448,0.135015,0.157837
0.17701,0.1192,0.137265,0.100304
0.184548,0.2108,0.0974357,0.0952636
0.150376,0.1792,0.0560312,0.151716
0.151773,0.152,0.121513,0.159601
0.187566,0.0992,0.123989,0.12205
0.190217,0.0612,0.103511,0.114741
0.179129,0.1316,0.248427,0.0981438
0.141448,0.1836,0.326961,0.0851468
0.116894,0.0844,0.363415,0.100988
0.087562,0.0896,0.391318,0.147252
0.115257,0.2324,0.318185,0.123094
0.073366,0.1296,0.378717,0.075498
0.07581,0.072,0.27543,0.103868
0.116874,0.144,0.0902349,0.108441
0.123054,0.1276,0.072233,0.128242
0.145387,0.338,0.128489,0.123382
0.222029,0.31,0.121288,0.0952996
0.210797,0.3412,0.247752,0.137387
0.174177,0.0416,0.246852,0.124894
0.17777,0.0228,0.201622,0.0782702
0.095488,0.0952,0.105762,0.0701696
0.039832,0.0424,0.0927102,0.0671454
0.051467,0.136,0.0985609,0.110709
0.078118,0.1188,0.160443,0.163021
0.147872,0.1068,0.127814,0.143111
0.164992,0.1924,0.218049,0.0897912
0.063533,0.1884,0.175969,0.0801424
0.143503,0.1236,0.143116,0.10466
0.167953,0.176,0.107337,0.087631
0.224267,0.0728,0.0510806,0.0579406
0.185863,0.0812,0.0436548,0.215441
0.096235,0.0992,0.0787587,0.294071
0.019263,0.1748,0.0645821,0.248564
0.037334,0.1208,0.18317,0.220086
0.045409,0.1228,0.101711,0.208457
0.090903,0.1692,0.148516,0.193227
0.137182,0.1036,0.174844,0.132815
0.199178,0.2276,0.130514,0.127954
0.16635,0.0936,0.0621068,0.180914
0.216173,0.1364,0.198922,0.152364
0.211711,0.14,0.0947354,0.0945075
0.171305,0.0816,0.220524,0.0895031
0.105899,0.1076,0.140415,0.0718977
0.128402,0.1108,0.170794,0.0606648
0.120907,0.1028,0.0969857,0.0941475
0.088994,0.1752,0.101261,0.144552
0.064548,0.1268,0.0823591,0.118413
0.050441,0.084,0.063907,0.0702056
0.072432,0.0556,0.162018,0.0953356
0.104476,0.2468,0.126464,0.108153
0.134036,0.396,0.0641321,0.111969
0.206738,0.3888,0.138165,0.109989
0.186458,0.2232,0.106887,0.107181
0.101186,0.156,0.0616568,0.118737
0.050772,0.0364,0.0859595,0.101996
0.068935,0.012,0.0679575,0.0848948
0.063338,0.0464,0.0742582,0.0994039
0.051909,0.106,0.0713329,0.151392
0.093661,0.1168,0.0792087,0.184191
0.151458,0.212,0.194871,0.151176
0.197539,0.4576,0.27183,0.087163
0.117482,0.4848,0.234926,0.0837067
0.102206,0.3544,0.272505,0.108585
0.128301,0.472,0.227275,0.121186
0.145059,0.4516,0.161568,0.1025
0.185169,0.1652,0.128039,0.0701696
0.16805,0.186,0.072683,0.0612529
0.081473,0.0716,0.0978858,0.0724018
0.05109,0.0552,0.0562562,0.129646
0.047524,0.112,0.195997,0.172886
0.046602,0.208,0.187221,0.15348
0.033408,0.1348,0.247977,0.142535
0.055508,0.1008,0.259679,0.183255
0.087855,0.1932,0.217374,0.172202
0.105519,0.182,0.142891,0.150456
0.177103,0.1292,0.107337,0.191751
0.168599,0.1052,0.0859595,0.17051
0.175322,0.1608,0.196672,0.115317
0.111511,0.0744,0.199147,0.107469
0.106297,0.0936,0.082134,0.112941
0.090663,0.0544,0.103961,0.0859389
0.13925,0.0396,0.109362,0.0721498
0.12357,0.108,0.0967607,0.119638
0.092294,0.1844,0.13839,0.149304
0.057151,0.1624,0.129389,0.110493
0.052155,0.0744,0.0834842,0.075606
0.086985,0.0488,0.136365,0.0954076
0.116302,0.16,0.193296,0.118989
0.157137,0.1604,0.146266,0.0995119
0.167567,0.1772,0.0794337,0.108117
0.074012,0.0764,0.0643571,0.117585
0.046542,0.1156,0.0641321,0.0847148
0.051243,0.048,0.0598566,0.0788823
0.062104,0.0448,0.0785336,0.110745
0.077669,0.096,0.0765084,0.139331
0.087611,0.3516,0.189471,0.190275
0.16994,0.3896,0.243927,0.167773
0.271308,0.4364,0.0976608,0.0683335
0.282043,0.2536,0.0623319,0.0405752
0.191146,0.6504,0.0661573,0.0891431
0.095491,0.522,0.296358,0.114093
0.121855,0.5944,0.407745,0.134435
0.128559,0.5468,0.189021,0.162913
0.190087,0.3636,0.182045,0.117585
0.21245,0.2896,0.0760584,0.0604128
0.223299,0.2732,0.0666073,0.0420994
0.124279,0.1768,0.0974357,0.123778
0.0233,0.216,0.148516,0.112221
0.025159,0.1156,0.182045,0.0865869
0.032681,0.0492,0.106662,0.0722578
0.073125,0.1,0.0607567,0.157585
0.069742,0.2076,0.107562,0.25598
0.066073,0.1456,0.0414046,0.257241
0.05971,0.1264,0.0686326,0.201544
0.070089,0.178,0.108237,0.197116
0.108432,0.2264,0.13299,0.217565
0.192958,0.118,0.209048,0.173966
0.122546,0.1232,0.0767334,0.118341
0.107601,0.1312,0.0436548,0.111969
0.112303,0.1232,0.125789,0.114237
0.088492,0.0996,0.129614,0.102176
0.127358,0.066,0.0733581,0.0901872
0.11442,0.0872,0.156842,0.135911
0.102536,0.2676,0.154367,0.149304
0.083948,0.2376,0.0888848,0.0952276
0.082098,0.0676,0.099911,0.0789543
0.095088,0.0504,0.153917,0.118593
0.099255,0.17,0.107112,0.14736
0.135354,0.178,0.0828091,0.110313
0.091726,0.1768,0.0650322,0.112185
0.065118,0.068,0.072683,0.108045
0.094147,0.138,0.0468052,0.087451
0.131781,0.2016,0.120613,0.104624
0.128403,0.1776,0.247302,0.127342
0.141892,0.2904,0.168544,0.125254
0.199633,0.428,0.0848343,0.117837
0.290564,0.222,0.0616568,0.0965957
0.333141,0.2704,0.027453,0.0643371
0.283434,0.4648,0.115888,0.062897
0.245363,0.3204,0.0526558,0.10466
0.251501,0.3368,0.0738081,0.142967
0.223983,0.3864,0.251803,0.171626
0.155705,0.284,0.384117,0.191823
0.147465,0.1688,0.237176,0.112185
0.186223,0.1772,0.22705,0.0493239
0.191502,0.1048,0.290057,0.063257
0.146933,0.1028,0.18587,0.0610129
0.101569,0.1584,0.09091,0.171854
0.071156,0.0836,0.109587,0.188691
0.030778,0.1316,0.23155,0.183327
0.055216,0.2556,0.198247,0.113985
0.017984,0.2092,0.0954105,0.136559
0.088068,0.0296,0.110262,0.257889
0.104499,0.0332,0.0589565,0.267357
0.099253,0.1148,0.0920351,0.212957
0.069295,0.1628,0.0317285,0.195568
0.085919,0.1556,0.0641321,0.191787
0.184385,0.1864,0.113863,0.188619
0.230646,0.234,0.189471,0.143147
0.109163,0.1276,0.0891098,0.112365
0.104237,0.1224,0.0677325,0.13141
0.169446,0.1108,0.090685,0.118197
0.128542,0.064,0.110487,0.0808985
0.092961,0.0572,0.113863,0.127198
0.080335,0.1108,0.143341,0.140303
0.085073,0.23,0.105087,0.0841747
0.063319,0.2376,0.0870846,0.0940755
0.081491,0.0912,0.0855094,0.140051
0.134596,0.0896,0.158867,0.133715
0.107475,0.042,0.105087,0.0985759
0.136526,0.0876,0.0830341,0.113013
0.08671,0.198,0.0864095,0.124678
0.070242,0.1248,0.0882097,0.123778
0.158145,0.0664,0.0479303,0.116577
0.252475,0.186,0.191046,0.105416
0.266445,0.2992,0.207248,0.0959837
0.297606,0.446,0.0661573,0.103256
0.338587,0.4896,0.0765084,0.110709
0.357962,0.2928,0.09091,0.0960557
0.342936,0.2504,0.163818,0.128674
0.367625,0.0636,0.249777,0.183003
0.437491,0.0304,0.0830341,0.162085
0.383525,0.0612,0.0641321,0.126262
0.349449,0.074,0.0607567,0.111393
0.114522,0.1056,0.189471,0.0611689
0.081102,0.1124,0.377592,0.0319705
0.071052,0.1088,0.217824,0.0605568
0.047071,0.1232,0.0825841,0.0727618
0.081259,0.222,0.110937,0.0521802
0.054817,0.19,0.208148,0.219714
0.028475,0.0744,0.240551,0.226818
0.034714,0.1072,0.134565,0.138827
0.03934,0.1,0.0951855,0.088243
0.092668,0.108,0.135015,0.126478
0.061736,0.1456,0.254278,0.126442
0.110777,0.1736,0.109812,0.105416
0.073093,0.1128,0.0918101,0.131194
0.120942,0.0428,0.109137,0.178898
0.195184,0.0448,0.115213,0.166585
0.119369,0.0436,0.0888848,0.12097
0.103415,0.0688,0.0432048,0.127882
0.133515,0.1236,0.0758334,0.143435
0.178968,0.1988,0.124664,0.113193
0.178576,0.1512,0.186771,0.10538
0.12566,0.0876,0.0801088,0.157729
0.115838,0.1292,0.0823591,0.149412
0.104696,0.1364,0.0742582,0.0865509
0.054561,0.0892,0.121063,0.107901
0.093558,0.0552,0.0886598,0.142751
0.153066,0.0932,0.106437,0.112797
0.107906,0.1432,0.0807839,0.100664
0.09727,0.1444,0.152117,0.117585
0.071209,0.0524,0.147166,0.123562
0.127987,0.0628,0.0558061,0.117765
0.188403,0.0728,0.0643571,0.0981438
0.197243,0.076,0.104411,0.0819065
0.22025,0.2636,0.0855094,0.0787383
0.274964,0.2456,0.18272,0.111933
0.279673,0.098,0.326511,0.125002
0.285986,0.0648,0.252928,0.122518
0.24208,0.1864,0.0425297,0.172058
0.24581,0.092,0.0414046,0.194236
0.2906,0.0976,0.0402794,0.129646
0.185471,0.1764,0.147841,0.0796024
0.14446,0.0952,0.0717829,0.0821226
0.186792,0.076,0.0915851,0.0654172
0.094989,0.0456,0.113187,0.0394952
0.063331,0.044,0.0668324,0.0456516
0.0878,0.0452,0.0972107,0.0593327
0.047735,0.07,0.0407295,0.0537163
0.031929,0.0952,0.0400544,-9999
0.033547,0.1556,0.0247527,0.214289
0.071585,0.1224,0.112962,0.136775
0.094421,0.092,0.203647,0.087811
0.068161,0.1472,0.130964,0.110457
0.080194,0.1736,0.17732,0.088207
0.092347,0.134,0.156167,0.0724378
0.178953,0.1464,0.0657072,0.117369
0.171169,0.0812,0.198022,0.17555
0.084864,0.1432,0.294332,0.147216
0.076655,0.1932,0.198697,0.107541
0.123845,0.2244,0.0780836,0.125974
0.199133,0.1256,0.0587315,0.12457
0.173332,0.0772,0.144691,0.111033
0.16683,0.0352,0.122639,0.158449
0.138691,0.0636,0.0576063,0.195784
0.051503,0.1228,0.0747082,0.14898
0.058757,0.0412,0.105987,0.104732
0.101227,0.086,0.161118,0.145092
0.197621,0.2328,0.164043,0.146532
0.169661,0.1136,0.100136,0.10394
0.090157,0.132,0.0614318,0.105452
0.099091,0.112,0.0472552,0.0902952
0.173306,0.0988,0.156617,0.0959117
0.214582,0.07,0.146491,0.0974238
0.171975,0.0532,0.0807839,0.0833467
0.15506,0.1408,0.106212,0.074778
0.172293,0.1416,0.14019,0.062969
0.122716,0.0696,0.054906,0.0989359
0.104094,0.0928,0.0621068,0.136487
0.104134,0.2228,0.0873096,0.131014
0.096274,0.2184,0.081459,0.116865
0.07382,0.2984,0.17912,0.101996
0.069456,0.3676,0.166293,0.0779462
0.080484,0.3836,0.222099,0.100304
0.066375,0.3872,0.101036,0.14538
0.109256,0.3904,0.0265529,0.145092
0.054791,0.3712,0.0468052,0.0974238
0.043935,0.3628,0.0519807,0.0447516
0.048917,0.2172,0.0954105,0.0337347
0.076541,0.0756,0.0857344,0.0563085
0.063647,0.1096,0.192171,0.0608209
0.025825,0.172,0.173944,0.128026
0.084347,0.0432,0.236726,0.0993679
0.151691,0.1172,0.0630069,0.0957676
0.174195,0.2368,0.045005,0.0583967
0.146239,0.3188,0.18497,0.100844
0.171156,0.2936,0.09046,0.175442
0.151759,0.1548,0.0411795,0.171194
0.177832,0.1292,0.0861845,0.12871
0.169748,0.0916,0.198922,0.101924
0.187298,0.0796,0.425972,0.1034
0.204562,0.1056,0.346538,0.114885
0.143571,0.1872,0.268455,0.134291
0.104694,0.1924,0.0607567,0.171266
0.085568,0.0868,0.181145,0.179654
0.078493,0.2832,0.122639,0.126298
