uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
722,0,0.0313744,26.5651,7.9558,668,697320,4062440,-120.791499,36.687155
723,0,0.0259959,48.3665,8.5599,667,697340,4062440,-120.791275,36.68715
724,0,0.0259959,79.5085,9.73818,664,697360,4062440,-120.791051,36.687146
725,0,0.00896411,102.529,12.9794,660,697380,4062440,-120.790827,36.687142
726,0,0.0331672,112.891,16.977,655,697400,4062440,-120.790604,36.687138
727,0,0.0188246,116.114,19.5442,649,697420,4062440,-120.79038,36.687134
728,0,0.0788841,114.775,19.6946,642,697440,4062440,-120.790156,36.68713
729,0,0.0735057,109.179,16.93,636,697460,4062440,-120.789933,36.687125
730,0,0.0519918,91.5482,13.0254,630,697480,4062440,-120.789709,36.687121
731,0,0.169422,64.7989,13.2166,626,697500,4062440,-120.789485,36.687117
732,0,0.138944,46.9749,14.3851,621,697520,4062440,-120.789262,36.687113
733,0,0.0645416,18.4349,11.18,619,697540,4062440,-120.789038,36.687109
734,0,0.0358564,333.435,9.5202,620,697560,4062440,-120.788814,36.687105
735,0,0.03496,303.69,12.6993,622,697580,4062440,-120.78859,36.687101
736,0,0.0340636,295.145,18.6912,627,697600,4062440,-120.788367,36.687096
737,0,0.00717129,293.429,22.2296,634,697620,4062440,-120.788143,36.687092
738,0,0.00268923,291.297,21.5926,642,697640,4062440,-120.787919,36.687088
739,0,0.03496,289.134,17.9605,649,697660,4062440,-120.787696,36.687084
740,0,0.00179282,293.629,12.3146,654,697680,4062440,-120.787472,36.68708
741,0,0.0367528,327.995,6.72553,657,697700,4062440,-120.787248,36.687076
742,0,0.0233067,39.5597,10.5618,657,697720,4062440,-120.787025,36.687071
743,0,0.00537846,58.3245,19.043,652,697740,4062440,-120.786801,36.687067
744,0,0.00358564,58.2405,17.1569,645,697760,4062440,-120.786577,36.687063
745,0,0.0134462,-9999,-9999,642,697780,4062440,-120.786354,36.687059
767,0,0.0143426,-9999,-9999,661,696560,4062460,-120.799994,36.687492
768,0,0.015239,202.38,6.55482,662,696580,4062460,-120.79977,36.687488
769,0,0.0331672,208.301,5.27233,663,696600,4062460,-120.799547,36.687484
770,0,0.0510954,230.194,5.57601,664,696620,4062460,-120.799323,36.68748
771,0,0.0394421,257.735,8.36862,666,696640,4062460,-120.799099,36.687476
772,0,0.0233067,271.848,10.9708,670,696660,4062460,-120.798876,36.687471
773,0,0.0224103,281.976,11.9058,674,696680,4062460,-120.798652,36.687467
774,0,0.0358564,285.524,13.1441,678,696700,4062460,-120.798428,36.687463
775,0,0.03496,284.931,10.9819,683,696720,4062460,-120.798204,36.687459
776,0,0.0268923,281.31,7.26463,686,696740,4062460,-120.797981,36.687455
777,0,0.0242031,273.366,6.07533,688,696760,4062460,-120.797757,36.687451
778,0,0.0125498,275.194,3.94906,690,696780,4062460,-120.797533,36.687447
779,0,0.00717129,0,1.4321,691,696800,4062460,-120.79731,36.687442
780,0,0.0215139,45,4.04469,690,696820,4062460,-120.797086,36.687438
781,0,0.0206174,37.875,4.07606,689,696840,4062460,-120.796862,36.687434
782,0,0.0080677,33.6901,2.58054,688,696860,4062460,-120.796639,36.68743
783,0,0,18.4349,1.13226,688,696880,4062460,-120.796415,36.687426
784,0,0.0564739,279.462,4.34809,688,696900,4062460,-120.796191,36.687422
785,0,0.0188246,281.31,5.46126,691,696920,4062460,-120.795967,36.687418
786,0,0.0242031,300.964,2.08713,692,696940,4062460,-120.795744,36.687413
787,0,0.0295816,296.565,1.60105,692,696960,4062460,-120.79552,36.687409
788,0,0,0,0.71616,693,696980,4062460,-120.795296,36.687405
789,0,0.0663344,63.4349,1.60105,692,697000,4062460,-120.795073,36.687401
790,0,0.0528882,81.8699,2.53049,692,697020,4062460,-120.794849,36.687397
791,0,0.0376493,101.31,5.46126,690,697040,4062460,-120.794625,36.687393
792,0,0.00358564,112.38,6.55482,688,697060,4062460,-120.794402,36.687389
793,0,0.00179282,106.699,7.4353,686,697080,4062460,-120.794178,36.687384
794,0,0.00537846,90,9.92625,683,697100,4062460,-120.793954,36.68738
795,0,0.00717129,73.3008,7.4353,679,697120,4062460,-120.79373,36.687376
796,0,0.0564739,45,4.04469,678,697140,4062460,-120.793507,36.687372
797,0,0.0421313,56.3099,5.15065,677,697160,4062460,-120.793283,36.687368
798,0,0,69.7751,7.2126,675,697180,4062460,-120.793059,36.687364
799,0,0,69.7751,7.2126,672,697200,4062460,-120.792836,36.68736
800,0,0.0385457,50.1944,5.57601,670,697220,4062460,-120.792612,36.687355
801,0,0.0143426,24.444,4.31872,669,697240,4062460,-120.792388,36.687351
802,0,0.0179282,21.8014,3.85103,669,697260,4062460,-120.792165,36.687347
803,0,0.0161354,33.6901,5.15065,668,697280,4062460,-120.791941,36.687343
804,0,0,32.0054,6.72553,667,697300,4062460,-120.791717,36.687339
805,0,0.0421313,30.0686,7.81308,666,697320,4062460,-120.791493,36.687335
806,0,0.0170318,33.6901,7.70016,664,697340,4062460,-120.79127,36.687331
807,0,0.0215139,53.7462,6.63125,663,697360,4062460,-120.791046,36.687326
808,0,0.0134462,87.7094,8.88765,661,697380,4062460,-120.790822,36.687322
809,0,0.00358564,102.529,12.9794,657,697400,4062460,-120.790599,36.687318
810,0,0.0215139,107.7,17.137,652,697420,4062460,-120.790375,36.687314
811,0,0.0403385,109.722,19.3866,645,697440,4062460,-120.790151,36.68731
812,0,0.0340636,107.176,19.7885,638,697460,4062460,-120.789928,36.687306
813,0,0.0403385,98.7462,18.2021,631,697480,4062460,-120.789704,36.687301
814,0,0.133565,87.5104,16.0543,625,697500,4062460,-120.78948,36.687297
815,0,0.288644,72.4076,15.0467,619,697520,4062460,-120.789256,36.687293
816,0,0.124601,28.3008,10.4569,615,697540,4062460,-120.789033,36.687289
817,0,0.0609559,329.036,12.3342,616,697560,4062460,-120.788809,36.687285
818,0,0.0143426,309.094,14.4504,620,697580,4062460,-120.788585,36.687281
819,0,0.0080677,299.055,17.835,624,697600,4062460,-120.788362,36.687277
820,0,0.00896411,294.59,22.0739,631,697620,4062460,-120.788138,36.687272
821,0,0.00358564,292.109,23.3522,639,697640,4062460,-120.787914,36.687268
822,0,0.0080677,290.898,20.2013,647,697660,4062460,-120.787691,36.687264
823,0,0.0224103,297.255,13.062,653,697680,4062460,-120.787467,36.68726
824,0,0.0394421,337.62,6.55482,655,697700,4062460,-120.787243,36.687256
825,0,0.0170318,52.4314,11.586,654,697720,4062460,-120.787019,36.687252
826,0,0.0188246,65.3764,18.2634,648,697740,4062460,-120.786796,36.687247
827,0,0.0134462,60.4222,14.8904,642,697760,4062460,-120.786572,36.687243
828,0,0.00627488,-9999,-9999,639,697780,4062460,-120.786348,36.687239
844,0,0.015239,-9999,-9999,664,696440,4062480,-120.801331,36.687697
845,0,0.0143426,-9999,-9999,662,696460,4062480,-120.801107,36.687693
846,0,0.00268923,-9999,-9999,661,696480,4062480,-120.800884,36.687689
847,0,0.0161354,-9999,-9999,660,696500,4062480,-120.80066,36.687685
848,0,0.030478,-9999,-9999,662,696520,4062480,-120.800436,36.687681
849,0,0.0412349,-9999,-9999,664,696540,4062480,-120.800213,36.687676
850,0,0.0188246,177.138,9.47393,665,696560,4062480,-120.799989,36.687672
851,0,0.0752985,186.843,8.94335,665,696580,4062480,-120.799765,36.687668
852,0,0.00268923,195.642,9.21646,665,696600,4062480,-120.799541,36.687664
853,0,0.0340636,201.038,9.87647,666,696620,4062480,-120.799318,36.68766
854,0,0.0448205,216.027,9.64907,667,696640,4062480,-120.799094,36.687656
855,0,0.0295816,240.524,9.37625,670,696660,4062480,-120.79887,36.687652
856,0,0.0493026,259.509,9.73818,673,696680,4062480,-120.798647,36.687647
857,0,0.0618523,271.736,11.659,677,696700,4062480,-120.798423,36.687643
858,0,0.0242031,281.31,10.825,682,696720,4062480,-120.798199,36.687639
859,0,0.0107569,284.036,8.78927,685,696740,4062480,-120.797976,36.687635
860,0,0.0250995,275.711,7.16018,688,696760,4062480,-120.797752,36.687631
861,0,0.0250995,276.34,3.23927,690,696780,4062480,-120.797528,36.687627
862,0,0.085159,45,1.51893,690,696800,4062480,-120.797304,36.687623
863,0,0,65.556,4.31872,689,696820,4062480,-120.797081,36.687618
864,0,0.0125498,45,3.54048,687,696840,4062480,-120.796857,36.687614
865,0,0,8.1301,2.53049,688,696860,4062480,-120.796633,36.68761
866,0,0,333.435,1.60105,687,696880,4062480,-120.79641,36.687606
867,0,0.0215139,279.462,4.34809,688,696900,4062480,-120.796186,36.687602
868,0,0.0761949,282.995,4.7666,690,696920,4062480,-120.795962,36.687598
869,0,0.0286851,303.69,2.58054,691,696940,4062480,-120.795739,36.687594
870,0,0.0914339,329.036,2.08713,692,696960,4062480,-120.795515,36.687589
871,0,0.0125498,8.1301,2.53049,692,696980,4062480,-120.795291,36.687585
872,0,0.00627488,26.5651,3.1996,692,697000,4062480,-120.795067,36.687581
