FID,uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
60,2629.000000000000000,0,0.0268923,60.9454002,7.3333902,659,697279.999998999992386,4062900.000000000000000,-120.791826999999998,36.691307000000002
61,2630.000000000000000,3,0.0161354,62.1026993,6.8552599,657,697299.999998999992386,4062900.000000000000000,-120.791604000000007,36.691302000000000
62,2709.000000000000000,0,0.0008964,315.0000000,6.0545001,661,697219.999998999992386,4062920.000000000000000,-120.792492999999993,36.691499000000000
63,2710.000000000000000,0,0.0143426,353.6600037,3.2392700,662,697239.999998999992386,4062920.000000000000000,-120.792270000000002,36.691495000000003
64,2711.000000000000000,1,0.0053785,64.9831009,5.9065700,661,697259.999998999992386,4062920.000000000000000,-120.792045999999999,36.691490999999999
65,2712.000000000000000,3,0.0197210,77.4711990,6.5740099,658,697279.999998999992386,4062920.000000000000000,-120.791821999999996,36.691487000000002
66,2713.000000000000000,0,0.0000000,95.1943970,3.9490600,656,697299.999998999992386,4062920.000000000000000,-120.791599000000005,36.691482999999998
67,2792.000000000000000,0,0.0179282,296.5650024,6.3793702,659,697219.999998999992386,4062940.000000000000000,-120.792488000000006,36.691679000000001
68,2793.000000000000000,2,0.0708164,329.0360107,2.0871301,661,697239.999998999992386,4062940.000000000000000,-120.792265000000000,36.691674999999996
69,2794.000000000000000,0,0.0143426,80.5376968,4.3480902,660,697259.999998999992386,4062940.000000000000000,-120.792040999999998,36.691670999999999
70,2795.000000000000000,1,0.0026892,102.9950027,4.7666001,658,697279.999998999992386,4062940.000000000000000,-120.791816999999995,36.691667000000002
71,2875.000000000000000,0,0.0179282,273.0130005,6.7814498,659,697219.999998999992386,4062960.000000000000000,-120.792483000000004,36.691859999999998
72,2876.000000000000000,0,0.0358564,258.6900024,1.8253300,661,697239.999998999992386,4062960.000000000000000,-120.792259000000001,36.691854999999997
73,2877.000000000000000,3,0.0161354,116.5650024,3.1996000,660,697259.999998999992386,4062960.000000000000000,-120.792035999999996,36.691851000000000
74,2878.000000000000000,2,0.0501990,127.8750000,4.0760598,659,697279.999998999992386,4062960.000000000000000,-120.791811999999993,36.691847000000003
75,2957.000000000000000,0,0.0116533,251.5650024,4.5202298,656,697199.999998999992386,4062980.000000000000000,-120.792702000000006,36.692044000000003
76,2958.000000000000000,0,0.0000000,270.0000000,6.4187899,659,697219.999998999992386,4062980.000000000000000,-120.792478000000003,36.692039999999999
