Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
414,4.6,4.09,2.03,20,3,4,0,0,696770.2343,4063328.119,5,3.329501629,0.003190052,,,
415,5.1,3.9,1.6,16.66,3,4,1,0,696761.986,4063325.265,5.723672867,2.909532785,0.002648629,,,
416,2.54,1.93,0.87,2.23,3,0,0,0,696785.6404,4063322.922,9.488318443,4.296220779,0.003226444,,,
417,1.24,1.17,0.97,0.74,6,3,0,0,696747.0705,4063441.371,9.089863777,4.173438072,0.006026925,5.51,1,3
418,2.77,2.56,1.3,4.83,6,5,0,0,696751.3465,4063442.025,11.47403622,4.26204586,0.005951807,6.82,1,2
419,3.49,3.37,1.56,9.61,6,2,0,0,696762.4106,4063454.601,16.15258789,5.166908741,0.005171312,8.7,4,4
420,2.99,2.57,1.21,4.87,6,1,0,0,696754.5329,4063462.857,22.75007248,4.235330582,0.004925481,4.6,0,2
421,1.27,1.26,0.86,0.72,6,3,0,0,696751.7579,4063459.13,18.77951431,3.568280935,0.005012758,3.25,1,2
422,3.34,2.82,1.1,5.42,6,0,0,0,696748.8988,4063459.064,11.97570992,3.210853815,0.004623406,3.22,2,4
423,3.31,2.99,1.19,6.17,6,3,0,0,696743.8851,4063459.393,6.241949081,2.441481113,0.004192336,6.55,3,4
424,3.49,3.14,1.73,9.93,6,7,0,0,696740.7346,4063444.778,3.841656208,2.421607733,0.006649418,3.21,2,4
425,7.64,4.44,1.57,27.89,6,10,0,0,696733.569,4063449.276,3.769222021,2.2516675,0.006346402,,,
426,3.37,2.98,1.4,7.36,6,4,0,0,696728.3921,4063452.82,5.083667755,2.00334549,0.005849219,7.9,3,2
427,3.97,3.43,1.55,11.05,6,5,0,0,696723.9326,4063460.155,8.417193413,1.597530961,0.005906673,8.53,3,4
428,3.9,2.97,1.07,6.49,6,5,0,0,696734.2946,4063468.275,3.676172733,2.289765358,0.004817008,6.58,2,4
429,4.46,3.9,1.8,16.39,6,5,0,0,696728.1501,4063471.131,6.379759312,2.038550615,0.005227047,6.12,1,8
430,1.98,1.95,0.94,1.9,6,4,0,0,696703.8912,4063476.457,6.256334782,1.86481297,0.005926742,7.89,2,3
431,5.51,4.8,1.73,23.96,6,8,0,0,696701.1061,4063477.059,7.507505417,2.002729416,0.005712259,8.453333333,3,5
432,5.32,4.6,1.89,24.22,6,9,0,0,696720.5486,4063494.601,5.77195406,2.817153931,0.003536073,3.78,3,5
433,1.99,1.9,1.06,2.1,6,5,0,0,696717.1815,4063493.303,3.298135996,2.999721766,0.003767674,4.09,0,1
434,3.24,3.17,1.58,8.5,6,6,0,0,696713.2631,4063496.543,3.256808758,2.862668991,0.003715268,3.49,3,5
435,3.8,3.5,1.38,9.61,6,8,0,0,696705.8777,4063491.156,2.014997005,2.574153662,0.004356594,6.97,1,5
436,3.98,3.7,1.23,9.48,6,6,0,0,696696.7719,4063490.613,6.125936508,2.339713097,0.005149485,5.946666667,2,5
437,4.42,3.87,1.82,16.3,6,6,0,0,696693.4175,4063488.76,9.243686676,2.130591869,0.005491502,6.62,3,7
438,3.97,0.39,1.49,1.21,6,8,0,0,696688.6085,4063499.64,1.215379238,3.105620384,0.005160181,,,
439,4.18,3.7,1.47,11.9,6,6,0,0,696702.2097,4063502.949,3.734383106,3.536812305,0.00423928,13.26666667,1,1
440,3.6,2.9,1.99,10.88,7,5,0,0,696700.2549,4063521.887,9.105303764,5.666130543,0.002450618,,,
441,2.9,3,1.5,6.83,7,9,1,0,696687.1287,4063525.138,8.041706085,3.566724062,0.003229334,11.48333333,1,5
442,3.8,4.3,1.7,14.54,7,4,1,0,696672.5745,4063501.047,3.106418133,2.474427462,0.004225225,,,
443,4.42,3.94,1.63,14.86,7,6,0,0,696670.1425,4063521.306,4.178483486,2.782257318,0.003772904,,,
444,3,4.4,1,6.91,7,1,1,0,696660.432,4063527.633,3.88993454,1.898060083,0.003871636,,,
445,4.12,3.4,1.27,9.31,7,5,0,0,696659.2121,4063537.928,11.53951359,2.170248985,0.003806479,,,
446,3.7,3.51,1.49,10.13,7,4,0,0,696660.0675,4063543.499,10.62587833,2.949045658,0.003874565,6.833333333,2,2
447,2.4,2,1.2,3.02,7,2,0,0,696652.9403,4063546.332,12.18186378,2.594783306,0.004324754,,,
448,5.4,4.83,1.8,24.58,7,10,0,0,696636.8656,4063545.63,14.83958149,2.150347233,0.003181801,,,
449,3.2,3.16,1.36,7.2,7,4,0,0,696639.7861,4063550.803,11.25716209,2.227524757,0.00365314,9.103333333,2,3
450,2.82,2.8,1.04,4.3,7,4,0,0,696657.6098,4063560.982,9.313642502,2.564039469,0.004037317,10.6,1,2
451,4.4,3.9,1.79,16.08,7,5,0,0,696669.1228,4063561.801,7.268710613,2.746311903,0.003299968,,,
