FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
2425,2426,0.216756,721,1.82533,-119.669554,35.154626,256829.2,3893450,,
1090,1091,0.216419,762,0.506415,-119.670269,35.163084,256789.2,3894390,,
329,330,0.216173,764,1.60105,-119.679856,35.167559,255929.2,3894910,,
1456,1457,0.214759,757,4.0760598,-119.668426,35.16042,256949.2,3894090,,
544,545,0.214582,762,3.5763299,-119.676755,35.166726,256209.2,3894810,,
2438,2439,0.214501,730,3.94906,-119.666702,35.154689,257089.2,3893450,,
274,275,0.214324,780,7.0719199,-119.676577,35.167992,256229.2,3894950,,
2356,2357,0.214168,734,7.70016,-119.665623,35.155254,257189.2,3893510,,
245,246,0.214099,784,2.5805399,-119.675925,35.168187,256289.2,3894970,,
1193,1194,0.213559,761,3.1996,-119.670678,35.162173,256749.2,3894290,,
196,197,0.212927,767,5.8851299,-119.680318,35.16827,255889.2,3894990,,
2423,2424,0.21249,719,2.5304899,-119.669992,35.154617,256789.2,3893450,,
394,395,0.21245,765,2.0871301,-119.682696,35.167136,255669.2,3894870,,
330,331,0.211711,765,2.95035,-119.679636,35.167564,255949.2,3894910,,
231,232,0.211361,770,3.0775199,-119.678996,35.168119,256009.2,3894970,,
2716,2717,0.210896,729,8.5889301,-119.666424,35.152893,257109.2,3893250,,
307,308,0.210797,774,6.1373801,-119.67679,35.167807,256209.2,3894930,,
582,583,0.210731,762,2.2636399,-119.676749,35.166546,256209.2,3894790,,
617,618,0.210077,761,1.51893,-119.676963,35.166361,256189.2,3894770,,
2449,2450,0.209931,717,3.0357201,-119.670644,35.154422,256729.2,3893430,,
1793,1794,0.209881,741,3.1996,-119.6688,35.158429,256909.2,3893870,,
262,263,0.209765,768,4.5202298,-119.67921,35.167934,255989.2,3894950,,
650,651,0.209565,761,1.13226,-119.677176,35.166176,256169.2,3894750,,
2744,2745,0.2094,735,8.4279604,-119.666199,35.152717,257129.2,3893230,,
1696,1697,0.208802,748,5.6437101,-119.668598,35.158974,256929.2,3893930,,
66,67,0.208653,777,2.0248699,-119.678599,35.16939,256049.2,3895110,,
2053,2054,0.207661,735,2.5304899,-119.66634,35.157041,257129.2,3893710,,
2424,2425,0.207508,720,2.0871301,-119.669773,35.154622,256809.2,3893450,,
341,342,0.206738,774,5.5760102,-119.677223,35.167617,256169.2,3894910,,
1678,1679,0.206299,744,7.8130798,-119.665533,35.159222,257209.2,3893950,,
824,825,0.205924,759,2.0248699,-119.677579,35.165086,256129.2,3894630,,
1966,1967,0.20558,746,9.7381802,-119.665261,35.157605,257229.2,3893770,,
1251,1252,0.205458,749,3.6817801,-119.673513,35.16157,256489.2,3894230,,
572,573,0.204562,764,1.60105,-119.678943,35.166498,256009.2,3894790,,
2057,2058,0.204454,746,10.9708004,-119.665462,35.15706,257209.2,3893710,,
1194,1195,0.203704,761,3.39325,-119.670459,35.162178,256769.2,3894290,,
2445,2446,0.202965,746,4.79318,-119.665167,35.154723,257229.2,3893450,,
799,800,0.20296,759,1.13226,-119.677366,35.165271,256149.2,3894650,,
2173,2174,0.202851,731,2.95035,-119.666536,35.156315,257109.2,3893630,,
1796,1797,0.202782,741,7.0719199,-119.668142,35.158443,256969.2,3893870,,
602,603,0.202565,760,5.15065,-119.680253,35.166288,255889.2,3894770,,
2087,2088,0.202518,746,10.0249996,-119.665456,35.15688,257209.2,3893690,,
1541,1542,0.202342,755,6.1373801,-119.668847,35.15987,256909.2,3894030,,
2027,2028,0.202321,746,11.6590004,-119.665468,35.15724,257209.2,3893730,,
2103,2104,0.202257,727,2.5304899,-119.668522,35.156632,256929.2,3893670,,
28,29,0.201983,780,5.5532498,-119.678397,35.169935,256069.2,3895170,,
71,72,0.201668,783,4.65874,-119.677502,35.169414,256149.2,3895110,,
261,262,0.201562,768,4.5202298,-119.679429,35.167929,255969.2,3894950,,
1111,1112,0.200725,763,3.23927,-119.670044,35.162908,256809.2,3894370,,
2415,2416,0.200246,746,11.5860004,-119.665392,35.154898,257209.2,3893470,,
103,104,0.199965,775,1.82533,-119.678806,35.169024,256029.2,3895070,,
276,277,0.199927,781,6.0960798,-119.676138,35.168002,256269.2,3894950,,
1219,1220,0.199693,764,1.60105,-119.670014,35.162008,256809.2,3894270,,
425,426,0.199633,771,5.15065,-119.675895,35.167286,256289.2,3894870,,
327,328,0.199178,766,4.3187199,-119.680295,35.167549,255889.2,3894910,,
532,533,0.199133,764,0.506415,-119.679387,35.166668,255969.2,3894810,,
2690,2691,0.198621,733,7.9558001,-119.66621,35.153078,257129.2,3893270,,
248,249,0.198598,771,-9999,-119.682281,35.167866,255709.2,3894950,,
1133,1134,0.198092,765,5.36764,-119.669599,35.162738,256849.2,3894350,,
2134,2135,0.19782,727,1.4321001,-119.668296,35.156457,256949.2,3893650,,
2279,2280,0.197795,723,3.94906,-119.669583,35.155527,256829.2,3893550,,
539,540,0.197621,765,2.8624101,-119.677852,35.166702,256109.2,3894810,,
350,351,0.197539,-9999,5.5760102,-119.675249,35.167661,256349.2,3894910,,
2174,2175,0.197373,733,5.0006399,-119.666316,35.15632,257129.2,3893630,,
505,506,0.197243,766,5.6437101,-119.676541,35.166911,256229.2,3894830,,
1635,1636,0.196889,749,1.51893,-119.668171,35.159344,256969.2,3893970,,
1711,1712,0.19673,744,4.2891502,-119.665308,35.159047,257229.2,3893930,,
1455,1456,0.196375,758,4.7666001,-119.668645,35.160415,256929.2,3894090,,
41,42,0.196328,782,5.5760102,-119.677952,35.169764,256109.2,3895150,,
225,226,0.195844,767,4.65874,-119.680312,35.16809,255889.2,3894970,,
2287,2288,0.195528,726,2.2636399,-119.667828,35.155566,256989.2,3893550,,
488,489,0.195184,765,2.8624101,-119.680271,35.166829,255889.2,3894830,,
1794,1795,0.194643,740,3.39325,-119.66858,35.158434,256929.2,3893870,,
2000,2001,0.194623,725,4.0446901,-119.671391,35.15711,256669.2,3893730,,
263,264,0.194619,769,2.5805399,-119.67899,35.167939,256009.2,3894950,,
1070,1071,0.194102,762,2.8624101,-119.670275,35.163264,256789.2,3894410,,
682,683,0.193695,760,3.0775199,-119.677389,35.165991,256149.2,3894730,,
1240,1241,0.19348,760,6.0545001,-119.670667,35.161813,256749.2,3894250,,
635,636,0.193177,757,3.1996,-119.680467,35.166103,255869.2,3894750,,
406,407,0.192958,765,2.5304899,-119.680063,35.167194,255909.2,3894870,,
2232,2233,0.192719,731,4.0760598,-119.666743,35.15595,257089.2,3893590,,
117,118,0.192554,776,1.82533,-119.680555,35.168805,255869.2,3895050,,
19,20,0.192343,780,6.7255301,-119.678403,35.170115,256069.2,3895190,,
616,617,0.19205,761,1.13226,-119.677182,35.166356,256169.2,3894770,,
743,744,0.191884,760,2.2636399,-119.677378,35.165631,256149.2,3894690,,
435,436,0.191502,764,2.95035,-119.682909,35.166951,255649.2,3894850,,
649,650,0.191286,761,3.1996,-119.677395,35.166171,256149.2,3894750,,
389,390,0.191146,-9999,5.8851299,-119.675024,35.167486,256369.2,3894890,,
2083,2084,0.190934,735,3.1996,-119.666334,35.156861,257129.2,3893690,,
639,640,0.190915,764,3.23927,-119.679589,35.166123,255949.2,3894750,,
608,609,0.190753,765,1.4321001,-119.678937,35.166317,256009.2,3894770,,
1894,1895,0.190512,743,5.15065,-119.667466,35.157917,257029.2,3893810,,
256,257,0.190393,768,3.94906,-119.680526,35.167905,255869.2,3894950,,
816,817,0.190348,771,3.23927,-119.673636,35.165353,256489.2,3894650,,
53,54,0.190339,780,5.15065,-119.678166,35.169579,256089.2,3895130,,
295,296,0.190217,768,4.65874,-119.679423,35.167749,255969.2,3894930,,
393,394,0.190087,764,3.1996,-119.682915,35.167131,255649.2,3894870,,
1393,1394,0.18985,752,5.6437101,-119.670193,35.160742,256789.2,3894130,,
1840,1841,0.189685,744,9.6362696,-119.665504,35.158321,257209.2,3893850,,
772,773,0.188534,759,2.0248699,-119.677372,35.165451,256149.2,3894670,,
1924,1925,0.188503,741,6.7255301,-119.667679,35.157732,257009.2,3893790,,
504,505,0.188403,765,6.3197699,-119.676761,35.166906,256209.2,3894830,,
1992,1993,0.188208,736,3.94906,-119.666352,35.157401,257129.2,3893750,,
713,714,0.187577,760,2.2636399,-119.677384,35.165811,256149.2,3894710,,
294,295,0.187566,765,2.7251401,-119.679642,35.167744,255949.2,3894930,,
571,572,0.187298,764,1.51893,-119.679162,35.166493,255989.2,3894790,,
515,516,0.186792,-9999,6.6312499,-119.674348,35.16696,256429.2,3894830,,
825,826,0.186792,759,1.60105,-119.67736,35.16509,256149.2,3894630,,
2496,2497,0.186755,732,8.9848804,-119.666471,35.154334,257109.2,3893410,,
1760,1761,0.186715,742,4.0760598,-119.668806,35.158609,256909.2,3893890,,
2286,2287,0.186513,725,2.7251401,-119.668048,35.155561,256969.2,3893550,,
342,343,0.186458,774,4.1687398,-119.677004,35.167622,256189.2,3894910,,
434,435,0.186223,764,3.23927,-119.683129,35.166946,255629.2,3894850,,
1699,1700,0.18617,750,3.8510301,-119.66794,35.158989,256989.2,3893930,,
1571,1572,0.18612,751,7.70016,-119.668841,35.15969,256909.2,3894010,,
320,321,0.185863,768,1.82533,-119.68183,35.167515,255749.2,3894910,,
243,244,0.185822,782,4.65874,-119.676363,35.168177,256249.2,3894970,,
1109,1110,0.185639,763,1.51893,-119.670483,35.162899,256769.2,3894370,,
798,799,0.185603,758,1.60105,-119.677585,35.165266,256129.2,3894650,,
513,514,0.185471,779,2.5805399,-119.674786,35.16695,256389.2,3894830,,
2935,2936,0.185419,720,4.0760598,-119.66681,35.151262,257069.2,3893070,,
1795,1796,0.185235,741,5.15065,-119.668361,35.158439,256949.2,3893870,,
355,356,0.185169,767,3.8510301,-119.682482,35.167321,255689.2,3894890,,
51,52,0.18515,777,2.0248699,-119.678605,35.16957,256049.2,3895130,,
1071,1072,0.184965,764,3.8510301,-119.670056,35.163269,256809.2,3894410,,
1562,1563,0.184914,739,3.8510301,-119.670815,35.159646,256729.2,3894010,,
1563,1564,0.184779,740,5.07621,-119.670596,35.159651,256749.2,3894010,,
291,292,0.184548,766,3.94906,-119.680301,35.167729,255889.2,3894930,,
447,448,0.184385,765,2.0248699,-119.680277,35.167009,255889.2,3894850,,
1375,1376,0.184204,762,6.1579199,-119.668444,35.160961,256949.2,3894150,,
218,219,0.184186,771,3.8510301,-119.681848,35.168056,255749.2,3894970,,
