FID,Slope,Elevat,ShrubCov,x_utm,y_utm
33,4.4384499,791,0.1079730,256074.200000000011642,3895288.200000000186265
34,5.4492202,791,0.1184490,256124.200000000011642,3895288.200000000186265
35,7.0669999,794,0.1313740,256174.200000000011642,3895288.200000000186265
36,8.8141203,800,0.1635970,256224.200000000011642,3895288.200000000186265
37,8.8507099,809,0.2128490,256274.200000000011642,3895288.200000000186265
38,7.5442400,815,0.1959640,256324.200000000011642,3895288.200000000186265
39,7.7581401,817,0.1144890,256374.200000000011642,3895288.200000000186265
40,9.1399803,816,0.0633651,256424.200000000011642,3895288.200000000186265
41,9.5275698,816,0.1051640,256474.200000000011642,3895288.200000000186265
42,9.1477699,818,0.1210060,256524.200000000011642,3895288.200000000186265
43,8.1492796,817,0.1170450,256574.200000000011642,3895288.200000000186265
44,9.2185698,819,0.1720940,256624.200000000011642,3895288.200000000186265
45,-9999.0000000,827,0.2648370,256674.200000000011642,3895288.200000000186265
46,6.5048099,784,0.1142370,256024.200000000011642,3895238.200000000186265
47,5.1544900,786,0.1701860,256074.200000000011642,3895238.200000000186265
48,4.3357902,788,0.1911030,256124.200000000011642,3895238.200000000186265
49,5.9504299,790,0.1813820,256174.200000000011642,3895238.200000000186265
50,8.7269201,797,0.1402670,256224.200000000011642,3895238.200000000186265
51,9.2043896,805,0.1088370,256274.200000000011642,3895238.200000000186265
52,8.2575502,809,0.1016000,256324.200000000011642,3895238.200000000186265
53,8.1797600,809,0.0934635,256374.200000000011642,3895238.200000000186265
54,8.3717299,807,0.1012400,256424.200000000011642,3895238.200000000186265
55,8.0435600,808,0.1174770,256474.200000000011642,3895238.200000000186265
56,7.3052902,809,0.1129410,256524.200000000011642,3895238.200000000186265
57,7.4037900,811,0.1434710,256574.200000000011642,3895238.200000000186265
58,9.8696203,818,0.2313900,256624.200000000011642,3895238.200000000186265
59,-9999.0000000,830,0.2853950,256674.200000000011642,3895238.200000000186265
60,-9999.0000000,-9999,0.2401150,256724.200000000011642,3895238.200000000186265
61,2.6632400,780,0.1143090,255974.200000000011642,3895188.200000000186265
62,4.3962798,780,0.1395470,256024.200000000011642,3895188.200000000186265
63,4.9307499,782,0.1809500,256074.200000000011642,3895188.200000000186265
64,4.4227600,786,0.1806260,256124.200000000011642,3895188.200000000186265
65,5.4928098,788,0.1468920,256174.200000000011642,3895188.200000000186265
66,7.4697499,794,0.1128330,256224.200000000011642,3895188.200000000186265
67,8.3146896,798,0.0826626,256274.200000000011642,3895188.200000000186265
68,7.9173698,802,0.0761821,256324.200000000011642,3895188.200000000186265
69,7.2191401,802,0.1088010,256374.200000000011642,3895188.200000000186265
70,6.7342701,801,0.1381430,256424.200000000011642,3895188.200000000186265
71,6.2866001,802,0.1360550,256474.200000000011642,3895188.200000000186265
72,6.7109098,805,0.1661170,256524.200000000011642,3895188.200000000186265
73,8.8579502,810,0.2666730,256574.200000000011642,3895188.200000000186265
74,9.1647301,821,0.3471040,256624.200000000011642,3895188.200000000186265
75,7.8004699,828,0.2751340,256674.200000000011642,3895188.200000000186265
76,-9999.0000000,827,0.1529400,256724.200000000011642,3895188.200000000186265
77,-9999.0000000,-9999,-9999.0000000,256774.200000000011642,3895188.200000000186265
78,2.9776900,779,0.1070730,255924.200000000011642,3895138.200000000186265
79,2.7716000,778,0.1218700,255974.200000000011642,3895138.200000000186265
80,3.1804800,778,0.1571170,256024.200000000011642,3895138.200000000186265
